ticker,period,window_size,cooldown_days,acc_delta,sharpe_delta,n_retrains,n_drift_events,elapsed_s,status,error
AAPL,std,100,2,0.0057,1.0057,44.0,799.0,504.6,ok,
AAPL,std,100,3,0.0057,1.0057,44.0,799.0,533.1,ok,
AAPL,std,75,7,0.0358,0.7685,58.0,858.0,652.5,ok,
AAPL,std,75,2,0.0358,0.7685,58.0,858.0,673.6,ok,
AAPL,std,75,10,0.0358,0.7685,58.0,858.0,709.3,ok,
AAPL,std,75,5,0.0358,0.7685,58.0,858.0,724.4,ok,
AAPL,std,75,3,0.0358,0.7685,58.0,858.0,772.1,ok,
AAPL,std,50,7,0.0148,0.9166,73.0,1158.0,880.5,ok,
AAPL,std,50,2,0.0148,0.9166,73.0,1158.0,890.6,ok,
AAPL,std,50,3,0.0148,0.9166,73.0,1158.0,930.7,ok,
AAPL,std,50,5,0.0148,0.9166,73.0,1158.0,935.8,ok,
AAPL,std,50,10,0.0148,0.9166,73.0,1158.0,947.8,ok,
AAPL,std,125,2,0.0273,0.8558,32.0,710.0,1004.5,ok,
AAPL,std,100,5,0.0057,1.0057,44.0,799.0,1197.2,ok,
AAPL,std,125,3,0.0273,0.8558,32.0,710.0,1014.0,ok,
AAPL,std,125,5,0.0273,0.8558,32.0,710.0,1003.1,ok,
AAPL,std,100,7,0.0057,1.0057,44.0,799.0,1197.4,ok,
AAPL,std,125,7,0.0273,0.8558,32.0,710.0,999.4,ok,
AAPL,std,100,10,0.0057,1.0057,44.0,799.0,1207.5,ok,
AAPL,std,150,2,0.0165,0.7641,27.0,750.0,980.3,ok,
AAPL,std,150,5,0.0165,0.7641,27.0,750.0,990.0,ok,
AAPL,std,150,3,0.0165,0.7641,27.0,750.0,997.0,ok,
AAPL,std,150,7,0.0165,0.7641,27.0,750.0,988.6,ok,
AAPL,std,125,10,0.0273,0.8558,32.0,710.0,1057.4,ok,
AAPL,std,150,10,0.0165,0.7641,27.0,750.0,968.9,ok,
AAPL,covid,75,2,-0.0605,-0.3917,39.0,675.0,926.3,ok,
AAPL,covid,100,2,-0.0342,-0.4496,33.0,572.0,849.1,ok,
AAPL,covid,75,3,-0.0605,-0.3917,39.0,675.0,919.6,ok,
AAPL,covid,75,5,-0.0605,-0.3917,39.0,675.0,868.2,ok,
